record_id,record_type,title,buyer_name,buyer_body_id,supplier_name,supplier_company_number,supplier_role,route_family,scheme_label,scope_class,status,notice_type,award_date,published_date,period_label,value_gbp,value_kind,geography_scope,site_ids,source_title,source_url,confidence,notes
aasc-serco-regions,prime_contract_scope,Asylum accommodation and support contract regional scope: Serco,Home Office,home_office,Serco,,prime_provider,asylum_support,,route_specific,active,contract_scope,,,"Current regional contract structure",,,East of England; Midlands; North West,bell-hotel-epping|phoenix-hotel-north-weald,Asylum accommodation and support contracts,https://www.gov.uk/government/publications/asylum-accommodation-and-support-contracts,high,"Current regional responsibility in the public contract structure. The starter ledger uses this to map visible current hotel sites to a prime provider."
aasc-mears-regions,prime_contract_scope,Asylum accommodation and support contract regional scope: Mears,Home Office,home_office,Mears,,prime_provider,asylum_support,,route_specific,active,contract_scope,,,"Current regional contract structure",,,North East; Yorkshire and The Humber; Scotland; Northern Ireland,cedar-court-wakefield,Asylum accommodation and support contracts,https://www.gov.uk/government/publications/asylum-accommodation-and-support-contracts,high,"Current regional responsibility in the public contract structure. The starter ledger uses this to map visible current hotel sites to a prime provider."
aasc-clearsprings-regions,prime_contract_scope,Asylum accommodation and support contract regional scope: Clearsprings,Home Office,home_office,Clearsprings Ready Homes,,prime_provider,asylum_support,,route_specific,active,contract_scope,,,"Current regional contract structure",,,South of England; Wales,stanwell-hotel-spelthorne,Asylum accommodation and support contracts,https://www.gov.uk/government/publications/asylum-accommodation-and-support-contracts,high,"Current regional responsibility in the public contract structure. The starter ledger uses this to map visible current hotel sites to a prime provider."
nao-accommodation-forecast,scrutiny_estimate,10-year asylum accommodation contract forecast,Home Office,home_office,,,,asylum_support,,route_specific,active,nao_scrutiny,,2024-11-08,"10-year forecast as at 2024-11-08",15300000000,forecast_total,UK,,Investigation into asylum accommodation,https://www.nao.org.uk/reports/investigation-into-asylum-accommodation/,high,"NAO said the 10-year accommodation contract forecast rose from GBP 4.5 billion to GBP 15.3 billion."
home-office-daily-hotel-cost,cost_indicator,Average daily asylum hotel cost,Home Office,home_office,,,,asylum_support,,route_specific,active,media_factsheet,,2025-06-12,2024/25 average,5770000,daily_cost_average,UK,,Factsheet: asylum accommodation and support,https://homeofficemedia.blog.gov.uk/2025/06/12/factsheet-asylum-accommodation-and-support/,high,"Home Office said hotel use averaged GBP 5.77 million per day in 2024/25."
asylum-grant-baseline-2025-26,funding_instruction,Asylum Grant 2025 to 2026 baseline payment,Home Office,home_office,Participating local authorities,,public_body,asylum_support,Asylum Grant 2025 to 2026,route_specific,active,funding_instruction,,2025-03-31,2025/26 baseline payment,1200,tariff,England; Scotland; Wales,,Funding Instruction for Local Authorities: Asylum Grant 2025 to 2026,https://www.gov.uk/government/publications/asylum-dispersal-grant-funding-instruction/funding-instruction-for-local-authorities-asylum-grant-2025-to-2026-accessible-html,high,"Accessible guidance says local authorities receive GBP 1,200 per accommodated asylum seeker present on 30 March 2025."
asylum-grant-growth-bedspace-2025-26,funding_instruction,Asylum Grant 2025 to 2026 additional occupied bedspace payment,Home Office,home_office,Participating local authorities,,public_body,asylum_support,Asylum Grant 2025 to 2026,route_specific,active,funding_instruction,,2025-03-31,Monthly marginal bedspace payment,100,tariff,England; Scotland; Wales,,Funding Instruction for Local Authorities: Asylum Grant 2025 to 2026,https://www.gov.uk/government/publications/asylum-dispersal-grant-funding-instruction/funding-instruction-for-local-authorities-asylum-grant-2025-to-2026-accessible-html,high,"Accessible guidance says local authorities receive GBP 100 per additional occupied bedspace per month above the 31 March 2025 baseline."
uk-resettlement-funding-2025-26,funding_instruction,UK resettlement programmes funding instruction 2025 to 2026,Home Office,home_office,Participating local authorities,,public_body,uk_resettlement_scheme,UK resettlement programmes,route_specific,active,funding_instruction,,2025-07-11,2025/26 funding instruction,,unknown,UK,,UK resettlement programmes: funding instructions 2025 to 2026,https://www.gov.uk/government/publications/uk-resettlement-programmes-funding-instructions-2025-to-2026/uk-resettlement-programmes-funding-instructions-2025-to-2026,high,"The starter ledger records the live official funding instruction but does not yet normalize the component tariff table into separate machine-readable rows."
afghan-programmes-funding-2024-25,funding_instruction,Afghan schemes funding instruction 2024 to 2025,Home Office,home_office,Participating local authorities,,public_body,afghan_resettlement_programme,Afghan schemes,route_specific,active,funding_instruction,,2024-11-11,2024/25 funding instruction page updated 2025-09-01,,unknown,UK,,Afghan schemes: funding instructions 2024 to 2025,https://www.gov.uk/government/publications/afghan-schemes-funding-instructions-2024-to-2025/afghan-schemes-funding-instructions-2024-to-2025,medium,"Current official page for Afghan pathway local-authority funding. The starter ledger has not yet normalized scheme-specific tariff components."
homes-for-ukraine-tariff-2025-26,funding_instruction,Homes for Ukraine standard local-authority tariff,Ministry of Housing Communities and Local Government,mhclg,Participating local authorities,,public_body,homes_for_ukraine,Homes for Ukraine,route_specific,active,grant_determination,,2026-02-03,2025/26 standard arrivals tariff,5900,tariff,England,,Homes for Ukraine Funding Arrangements 2025 to 2026 for tariffs 1 July 2025 to 30 September 2025,https://www.gov.uk/government/publications/homes-for-ukraine-funding-arrangements-2025-to-2026-for-tariffs-1-july-2025-to-30-september-2025/homes-for-ukraine-funding-arrangements-2025-to-2026-for-tariffs-1-july-2025-to-30-september-2025,high,"Current guidance says the standard tariff is GBP 5,900 for arrivals on or after 1 January 2023. Legacy cohorts and minors can attract different amounts."
homes-for-ukraine-welcome-payment,funding_instruction,Homes for Ukraine welcome payment per guest,Ministry of Housing Communities and Local Government,mhclg,Participating local authorities,,public_body,homes_for_ukraine,Homes for Ukraine,route_specific,active,grant_guidance,,2023-01-16,Current guest welcome payment,200,grant,UK,,Homes for Ukraine: Councillor guidance,https://www.gov.uk/guidance/homes-for-ukraine-councillor-guidance,high,"Councils provide a one-off GBP 200 welcome payment to each guest on arrival. The guidance page used here was last updated on 2025-09-15."
